"iter","muon+adamw--lr1e-3 - train/loss","muon+adamw--lr1e-3 - train/loss__MIN","muon+adamw--lr1e-3 - train/loss__MAX","muon+adamw--lr1e-3 - _step","muon+adamw--lr1e-3 - _step__MIN","muon+adamw--lr1e-3 - _step__MAX","muon-cos_inf - train/loss","muon-cos_inf - train/loss__MIN","muon-cos_inf - train/loss__MAX","muon-cos_inf - _step","muon-cos_inf - _step__MIN","muon-cos_inf - _step__MAX","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon1500 - train/loss","muon1500 - train/loss__MIN","muon1500 - train/loss__MAX","muon1500 - _step","muon1500 - _step__MIN","muon1500 - _step__MAX","muon-linear - train/loss","muon-linear - train/loss__MIN","muon-linear - train/loss__MAX","muon-linear - _step","muon-linear - _step__MIN","muon-linear - _step__MAX","muon-cosine - train/loss","muon-cosine - train/loss__MIN","muon-cosine - train/loss__MAX","muon-cosine - _step","muon-cosine - _step__MIN","muon-cosine - _step__MAX","muon - train/loss","muon - train/loss__MIN","muon - train/loss__MAX","muon - _step","muon - _step__MIN","muon - _step__MAX"
"3050","","","","","","","3.7646799087524414","3.7646799087524414","3.7646799087524414","124","124","124","","","","","","","","","","","","","3.8286709785461426","3.8286709785461426","3.8286709785461426","124","124","124","3.741602897644043","3.741602897644043","3.741602897644043","124","124","124","3.859043836593628","3.859043836593628","3.859043836593628","124","124","124"
"3100","3.5185787677764893","3.5185787677764893","3.5185787677764893","35","35","35","3.5987625122070312","3.5987625122070312","3.5987625122070312","126","126","126","3.5353751182556152","3.5353751182556152","3.5353751182556152","35","35","35","","","","","","","3.661041736602783","3.661041736602783","3.661041736602783","126","126","126","3.5802667140960693","3.5802667140960693","3.5802667140960693","126","126","126","3.683729887008667","3.683729887008667","3.683729887008667","126","126","126"
"3150","","","","","","","3.3343400955200195","3.3343400955200195","3.3343400955200195","128","128","128","","","","","","","","","","","","","3.385403633117676","3.385403633117676","3.385403633117676","128","128","128","3.3152008056640625","3.3152008056640625","3.3152008056640625","128","128","128","3.4355525970458984","3.4355525970458984","3.4355525970458984","128","128","128"
"3200","3.5356385707855225","3.5356385707855225","3.5356385707855225","37","37","37","3.6748123168945312","3.6748123168945312","3.6748123168945312","130","130","130","3.546888828277588","3.546888828277588","3.546888828277588","37","37","37","","","","","","","3.7670793533325195","3.7670793533325195","3.7670793533325195","130","130","130","3.6787972450256348","3.6787972450256348","3.6787972450256348","130","130","130","3.8608131408691406","3.8608131408691406","3.8608131408691406","130","130","130"
"3250","","","","","","","3.373011589050293","3.373011589050293","3.373011589050293","132","132","132","","","","","","","","","","","","","3.432173728942871","3.432173728942871","3.432173728942871","132","132","132","3.3613600730895996","3.3613600730895996","3.3613600730895996","132","132","132","3.464153289794922","3.464153289794922","3.464153289794922","132","132","132"
"3300","3.465616226196289","3.465616226196289","3.465616226196289","39","39","39","3.2027664184570312","3.2027664184570312","3.2027664184570312","134","134","134","3.4812545776367188","3.4812545776367188","3.4812545776367188","39","39","39","","","","","","","3.2849550247192383","3.2849550247192383","3.2849550247192383","134","134","134","3.200713872909546","3.200713872909546","3.200713872909546","134","134","134","3.328582763671875","3.328582763671875","3.328582763671875","134","134","134"
"3350","","","","","","","3.4604344367980957","3.4604344367980957","3.4604344367980957","136","136","136","","","","","","","","","","","","","3.522794485092163","3.522794485092163","3.522794485092163","136","136","136","3.448838710784912","3.448838710784912","3.448838710784912","136","136","136","3.540665626525879","3.540665626525879","3.540665626525879","136","136","136"
"3400","3.494821071624756","3.494821071624756","3.494821071624756","41","41","41","3.352116823196411","3.352116823196411","3.352116823196411","138","138","138","3.5002787113189697","3.5002787113189697","3.5002787113189697","41","41","41","","","","","","","3.419156074523926","3.419156074523926","3.419156074523926","138","138","138","3.3375253677368164","3.3375253677368164","3.3375253677368164","138","138","138","3.4517064094543457","3.4517064094543457","3.4517064094543457","138","138","138"
"3450","","","","","","","3.467684745788574","3.467684745788574","3.467684745788574","140","140","140","","","","","","","","","","","","","3.5353052616119385","3.5353052616119385","3.5353052616119385","140","140","140","3.460226535797119","3.460226535797119","3.460226535797119","140","140","140","3.560555934906006","3.560555934906006","3.560555934906006","140","140","140"
"3500","3.642643928527832","3.642643928527832","3.642643928527832","43","43","43","3.449507713317871","3.449507713317871","3.449507713317871","142","142","142","3.6505279541015625","3.6505279541015625","3.6505279541015625","43","43","43","","","","","","","3.520115375518799","3.520115375518799","3.520115375518799","142","142","142","3.4395670890808105","3.4395670890808105","3.4395670890808105","142","142","142","3.5522119998931885","3.5522119998931885","3.5522119998931885","142","142","142"
"3550","","","","","","","3.3907923698425293","3.3907923698425293","3.3907923698425293","144","144","144","","","","","","","","","","","","","3.4482998847961426","3.4482998847961426","3.4482998847961426","144","144","144","3.390928030014038","3.390928030014038","3.390928030014038","144","144","144","3.4862470626831055","3.4862470626831055","3.4862470626831055","144","144","144"
"3600","3.570883274078369","3.570883274078369","3.570883274078369","45","45","45","3.6183974742889404","3.6183974742889404","3.6183974742889404","146","146","146","3.577444314956665","3.577444314956665","3.577444314956665","45","45","45","","","","","","","3.6807761192321777","3.6807761192321777","3.6807761192321777","146","146","146","3.621220111846924","3.621220111846924","3.621220111846924","146","146","146","3.733926773071289","3.733926773071289","3.733926773071289","146","146","146"
"3650","","","","","","","3.6550040245056152","3.6550040245056152","3.6550040245056152","148","148","148","","","","","","","","","","","","","3.7128138542175293","3.7128138542175293","3.7128138542175293","148","148","148","3.648542642593384","3.648542642593384","3.648542642593384","148","148","148","3.734318256378174","3.734318256378174","3.734318256378174","148","148","148"
"3700","3.5038700103759766","3.5038700103759766","3.5038700103759766","47","47","47","3.532578468322754","3.532578468322754","3.532578468322754","150","150","150","3.5099968910217285","3.5099968910217285","3.5099968910217285","47","47","47","","","","","","","3.594970703125","3.594970703125","3.594970703125","150","150","150","3.532604932785034","3.532604932785034","3.532604932785034","150","150","150","3.62912654876709","3.62912654876709","3.62912654876709","150","150","150"
"3750","","","","","","","3.5541529655456543","3.5541529655456543","3.5541529655456543","152","152","152","","","","","","","","","","","","","3.6112732887268066","3.6112732887268066","3.6112732887268066","152","152","152","3.5609333515167236","3.5609333515167236","3.5609333515167236","152","152","152","3.6551756858825684","3.6551756858825684","3.6551756858825684","152","152","152"
"3800","3.398672580718994","3.398672580718994","3.398672580718994","49","49","49","3.3370795249938965","3.3370795249938965","3.3370795249938965","154","154","154","3.405571937561035","3.405571937561035","3.405571937561035","49","49","49","","","","","","","3.39274263381958","3.39274263381958","3.39274263381958","154","154","154","3.3459835052490234","3.3459835052490234","3.3459835052490234","154","154","154","3.4308483600616455","3.4308483600616455","3.4308483600616455","154","154","154"
"3850","","","","","","","3.1824469566345215","3.1824469566345215","3.1824469566345215","156","156","156","","","","","","","","","","","","","3.246243953704834","3.246243953704834","3.246243953704834","156","156","156","3.186147689819336","3.186147689819336","3.186147689819336","156","156","156","3.2976551055908203","3.2976551055908203","3.2976551055908203","156","156","156"
"3900","3.3411002159118652","3.3411002159118652","3.3411002159118652","51","51","51","3.2790775299072266","3.2790775299072266","3.2790775299072266","158","158","158","3.350896120071411","3.350896120071411","3.350896120071411","51","51","51","","","","","","","3.3441009521484375","3.3441009521484375","3.3441009521484375","158","158","158","3.269347906112671","3.269347906112671","3.269347906112671","158","158","158","3.399955987930298","3.399955987930298","3.399955987930298","158","158","158"
"3950","","","","","","","3.436537742614746","3.436537742614746","3.436537742614746","160","160","160","","","","","","","","","","","","","3.4774982929229736","3.4774982929229736","3.4774982929229736","160","160","160","3.429490804672241","3.429490804672241","3.429490804672241","160","160","160","3.5169951915740967","3.5169951915740967","3.5169951915740967","160","160","160"
"4000","3.374002456665039","3.374002456665039","3.374002456665039","53","53","53","3.466671943664551","3.466671943664551","3.466671943664551","162","162","162","3.3619565963745117","3.3619565963745117","3.3619565963745117","53","53","53","","","","","","","3.5193395614624023","3.5193395614624023","3.5193395614624023","162","162","162","3.4697959423065186","3.4697959423065186","3.4697959423065186","162","162","162","3.580496311187744","3.580496311187744","3.580496311187744","162","162","162"
