"iter","muon+adamw--lr1e-3 - train/loss","muon+adamw--lr1e-3 - train/loss__MIN","muon+adamw--lr1e-3 - train/loss__MAX","muon+adamw--lr1e-3 - _step","muon+adamw--lr1e-3 - _step__MIN","muon+adamw--lr1e-3 - _step__MAX","muon-cos_inf - train/loss","muon-cos_inf - train/loss__MIN","muon-cos_inf - train/loss__MAX","muon-cos_inf - _step","muon-cos_inf - _step__MIN","muon-cos_inf - _step__MAX","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon1500 - train/loss","muon1500 - train/loss__MIN","muon1500 - train/loss__MAX","muon1500 - _step","muon1500 - _step__MIN","muon1500 - _step__MAX","muon-linear - train/loss","muon-linear - train/loss__MIN","muon-linear - train/loss__MAX","muon-linear - _step","muon-linear - _step__MIN","muon-linear - _step__MAX","muon-cosine - train/loss","muon-cosine - train/loss__MIN","muon-cosine - train/loss__MAX","muon-cosine - _step","muon-cosine - _step__MIN","muon-cosine - _step__MAX","muon - train/loss","muon - train/loss__MIN","muon - train/loss__MAX","muon - _step","muon - _step__MIN","muon - _step__MAX"
"750","","","","","","","5.002288818359375","5.002288818359375","5.002288818359375","32","32","32","","","","","","","4.438493728637695","4.438493728637695","4.438493728637695","32","32","32","4.7679762840271","4.7679762840271","4.7679762840271","32","32","32","4.5900726318359375","4.5900726318359375","4.5900726318359375","32","32","32","4.440983772277832","4.440983772277832","4.440983772277832","32","32","32"
"800","","","","","","","4.949491500854492","4.949491500854492","4.949491500854492","34","34","34","","","","","","","4.3676910400390625","4.3676910400390625","4.3676910400390625","34","34","34","4.685254096984863","4.685254096984863","4.685254096984863","34","34","34","4.543972969055176","4.543972969055176","4.543972969055176","34","34","34","4.375347137451172","4.375347137451172","4.375347137451172","34","34","34"
"850","","","","","","","4.609883785247803","4.609883785247803","4.609883785247803","36","36","36","","","","","","","4.190507888793945","4.190507888793945","4.190507888793945","36","36","36","4.442894458770752","4.442894458770752","4.442894458770752","36","36","36","4.29089879989624","4.29089879989624","4.29089879989624","36","36","36","4.186201095581055","4.186201095581055","4.186201095581055","36","36","36"
"900","","","","","","","4.490556716918945","4.490556716918945","4.490556716918945","38","38","38","","","","","","","4.0826497077941895","4.0826497077941895","4.0826497077941895","38","38","38","4.333171367645264","4.333171367645264","4.333171367645264","38","38","38","4.1813645362854","4.1813645362854","4.1813645362854","38","38","38","4.081141471862793","4.081141471862793","4.081141471862793","38","38","38"
"950","","","","","","","4.346391677856445","4.346391677856445","4.346391677856445","40","40","40","","","","","","","3.990124225616455","3.990124225616455","3.990124225616455","40","40","40","4.199871063232422","4.199871063232422","4.199871063232422","40","40","40","4.0550737380981445","4.0550737380981445","4.0550737380981445","40","40","40","3.990298271179199","3.990298271179199","3.990298271179199","40","40","40"
"1000","","","","","","","4.3534698486328125","4.3534698486328125","4.3534698486328125","42","42","42","","","","","","","4.014179229736328","4.014179229736328","4.014179229736328","42","42","42","4.231141567230225","4.231141567230225","4.231141567230225","42","42","42","4.081607818603516","4.081607818603516","4.081607818603516","42","42","42","4.0153937339782715","4.0153937339782715","4.0153937339782715","42","42","42"
"1050","","","","","","","4.416359901428223","4.416359901428223","4.416359901428223","44","44","44","","","","","","","4.0829243659973145","4.0829243659973145","4.0829243659973145","44","44","44","4.2833476066589355","4.2833476066589355","4.2833476066589355","44","44","44","4.147402286529541","4.147402286529541","4.147402286529541","44","44","44","4.089320182800293","4.089320182800293","4.089320182800293","44","44","44"
"1100","","","","","","","4.218237400054932","4.218237400054932","4.218237400054932","46","46","46","","","","","","","3.9410958290100098","3.9410958290100098","3.9410958290100098","46","46","46","4.118860721588135","4.118860721588135","4.118860721588135","46","46","46","4.001617431640625","4.001617431640625","4.001617431640625","46","46","46","3.9434027671813965","3.9434027671813965","3.9434027671813965","46","46","46"
"1150","","","","","","","4.181075096130371","4.181075096130371","4.181075096130371","48","48","48","","","","","","","3.954139232635498","3.954139232635498","3.954139232635498","48","48","48","4.105134963989258","4.105134963989258","4.105134963989258","48","48","48","3.997098445892334","3.997098445892334","3.997098445892334","48","48","48","3.958850383758545","3.958850383758545","3.958850383758545","48","48","48"
"1200","","","","","","","4.249743461608887","4.249743461608887","4.249743461608887","50","50","50","","","","","","","4.025431156158447","4.025431156158447","4.025431156158447","50","50","50","4.174101829528809","4.174101829528809","4.174101829528809","50","50","50","4.046535491943359","4.046535491943359","4.046535491943359","50","50","50","4.0206828117370605","4.0206828117370605","4.0206828117370605","50","50","50"
"1250","","","","","","","4.368521690368652","4.368521690368652","4.368521690368652","52","52","52","","","","","","","4.166089057922363","4.166089057922363","4.166089057922363","52","52","52","4.28069543838501","4.28069543838501","4.28069543838501","52","52","52","4.1834821701049805","4.1834821701049805","4.1834821701049805","52","52","52","4.154674530029297","4.154674530029297","4.154674530029297","52","52","52"
"1300","","","","","","","4.184697151184082","4.184697151184082","4.184697151184082","54","54","54","","","","","","","4.011785507202148","4.011785507202148","4.011785507202148","54","54","54","4.120457172393799","4.120457172393799","4.120457172393799","54","54","54","4.035639762878418","4.035639762878418","4.035639762878418","54","54","54","4.0202178955078125","4.0202178955078125","4.0202178955078125","54","54","54"
