"iter","muon+adamwcos_inf--lr5e-5 - train/loss","muon+adamwcos_inf--lr5e-5 - train/loss__MIN","muon+adamwcos_inf--lr5e-5 - train/loss__MAX","muon+adamwcos_inf--lr5e-5 - _step","muon+adamwcos_inf--lr5e-5 - _step__MIN","muon+adamwcos_inf--lr5e-5 - _step__MAX","muon+adamwcos--lr5e-5 - train/loss","muon+adamwcos--lr5e-5 - train/loss__MIN","muon+adamwcos--lr5e-5 - train/loss__MAX","muon+adamwcos--lr5e-5 - _step","muon+adamwcos--lr5e-5 - _step__MIN","muon+adamwcos--lr5e-5 - _step__MAX","muon+adamwlinear--lr5e-5 - train/loss","muon+adamwlinear--lr5e-5 - train/loss__MIN","muon+adamwlinear--lr5e-5 - train/loss__MAX","muon+adamwlinear--lr5e-5 - _step","muon+adamwlinear--lr5e-5 - _step__MIN","muon+adamwlinear--lr5e-5 - _step__MAX","muon+adamw--lr5e-5 - train/loss","muon+adamw--lr5e-5 - train/loss__MIN","muon+adamw--lr5e-5 - train/loss__MAX","muon+adamw--lr5e-5 - _step","muon+adamw--lr5e-5 - _step__MIN","muon+adamw--lr5e-5 - _step__MAX","muon3000 - train/loss","muon3000 - train/loss__MIN","muon3000 - train/loss__MAX","muon3000 - _step","muon3000 - _step__MIN","muon3000 - _step__MAX"
"2100","","","","","","","","","","","","","","","","","","","","","","","","","3.709805965423584","3.709805965423584","3.709805965423584","86","86","86"
"2150","","","","","","","","","","","","","","","","","","","","","","","","","3.4614105224609375","3.4614105224609375","3.4614105224609375","88","88","88"
"2200","","","","","","","","","","","","","","","","","","","","","","","","","3.771846294403076","3.771846294403076","3.771846294403076","90","90","90"
"2250","","","","","","","","","","","","","","","","","","","","","","","","","3.568173408508301","3.568173408508301","3.568173408508301","92","92","92"
"2300","","","","","","","","","","","","","","","","","","","","","","","","","3.6806468963623047","3.6806468963623047","3.6806468963623047","94","94","94"
"2350","","","","","","","","","","","","","","","","","","","","","","","","","3.826740264892578","3.826740264892578","3.826740264892578","96","96","96"
"2400","","","","","","","","","","","","","","","","","","","","","","","","","3.599733352661133","3.599733352661133","3.599733352661133","98","98","98"
"2450","","","","","","","","","","","","","","","","","","","","","","","","","3.471397876739502","3.471397876739502","3.471397876739502","100","100","100"
"2500","","","","","","","","","","","","","","","","","","","","","","","","","3.671724557876587","3.671724557876587","3.671724557876587","102","102","102"
"2550","","","","","","","","","","","","","","","","","","","","","","","","","3.673764705657959","3.673764705657959","3.673764705657959","104","104","104"
"2600","","","","","","","","","","","","","","","","","","","","","","","","","3.678725481033325","3.678725481033325","3.678725481033325","106","106","106"
"2650","","","","","","","","","","","","","","","","","","","","","","","","","3.532172679901123","3.532172679901123","3.532172679901123","108","108","108"
"2700","","","","","","","","","","","","","","","","","","","","","","","","","3.8752973079681396","3.8752973079681396","3.8752973079681396","110","110","110"
"2750","","","","","","","","","","","","","","","","","","","","","","","","","3.501089096069336","3.501089096069336","3.501089096069336","112","112","112"
"2800","","","","","","","","","","","","","","","","","","","","","","","","","3.714393377304077","3.714393377304077","3.714393377304077","114","114","114"
"2850","","","","","","","","","","","","","","","","","","","","","","","","","3.71999454498291","3.71999454498291","3.71999454498291","116","116","116"
"2900","","","","","","","","","","","","","","","","","","","","","","","","","3.6281871795654297","3.6281871795654297","3.6281871795654297","118","118","118"
"2950","","","","","","","","","","","","","","","","","","","","","","","","","3.3907458782196045","3.3907458782196045","3.3907458782196045","120","120","120"
"3000","3.708589553833008","3.708589553833008","3.708589553833008","3","3","3","3.708589553833008","3.708589553833008","3.708589553833008","3","3","3","3.708589553833008","3.708589553833008","3.708589553833008","3","3","3","3.708589553833008","3.708589553833008","3.708589553833008","3","3","3","3.708589553833008","3.708589553833008","3.708589553833008","122","122","122"
"3050","3.811821460723877","3.811821460723877","3.811821460723877","5","5","5","3.834336757659912","3.834336757659912","3.834336757659912","5","5","5","3.8250679969787598","3.8250679969787598","3.8250679969787598","5","5","5","3.7968268394470215","3.7968268394470215","3.7968268394470215","5","5","5","","","","","",""
"3100","3.64421010017395","3.64421010017395","3.64421010017395","7","7","7","3.669499397277832","3.669499397277832","3.669499397277832","7","7","7","3.660125732421875","3.660125732421875","3.660125732421875","7","7","7","3.633213758468628","3.633213758468628","3.633213758468628","7","7","7","","","","","",""
"3150","3.4010541439056396","3.4010541439056396","3.4010541439056396","9","9","9","3.42598295211792","3.42598295211792","3.42598295211792","9","9","9","3.419503688812256","3.419503688812256","3.419503688812256","9","9","9","3.3895251750946045","3.3895251750946045","3.3895251750946045","9","9","9","","","","","",""
"3200","3.7370615005493164","3.7370615005493164","3.7370615005493164","11","11","11","3.7601356506347656","3.7601356506347656","3.7601356506347656","11","11","11","3.7560205459594727","3.7560205459594727","3.7560205459594727","11","11","11","3.7340641021728516","3.7340641021728516","3.7340641021728516","11","11","11","","","","","",""
"3250","3.4033448696136475","3.4033448696136475","3.4033448696136475","13","13","13","3.417729377746582","3.417729377746582","3.417729377746582","13","13","13","3.4172158241271973","3.4172158241271973","3.4172158241271973","13","13","13","3.3996124267578125","3.3996124267578125","3.3996124267578125","13","13","13","","","","","",""
"3300","3.253798484802246","3.253798484802246","3.253798484802246","15","15","15","3.26636004447937","3.26636004447937","3.26636004447937","15","15","15","3.2657926082611084","3.2657926082611084","3.2657926082611084","15","15","15","3.2493643760681152","3.2493643760681152","3.2493643760681152","15","15","15","","","","","",""
"3350","3.4934325218200684","3.4934325218200684","3.4934325218200684","17","17","17","3.5039358139038086","3.5039358139038086","3.5039358139038086","17","17","17","3.50334095954895","3.50334095954895","3.50334095954895","17","17","17","3.490011692047119","3.490011692047119","3.490011692047119","17","17","17","","","","","",""
"3400","3.3746304512023926","3.3746304512023926","3.3746304512023926","19","19","19","3.383316993713379","3.383316993713379","3.383316993713379","19","19","19","3.3834803104400635","3.3834803104400635","3.3834803104400635","19","19","19","3.3711142539978027","3.3711142539978027","3.3711142539978027","19","19","19","","","","","",""
"3450","3.4936230182647705","3.4936230182647705","3.4936230182647705","21","21","21","3.500521659851074","3.500521659851074","3.500521659851074","21","21","21","3.5001540184020996","3.5001540184020996","3.5001540184020996","21","21","21","3.491206645965576","3.491206645965576","3.491206645965576","21","21","21","","","","","",""
"3500","3.4837441444396973","3.4837441444396973","3.4837441444396973","23","23","23","3.4898061752319336","3.4898061752319336","3.4898061752319336","23","23","23","3.4891510009765625","3.4891510009765625","3.4891510009765625","23","23","23","3.4818127155303955","3.4818127155303955","3.4818127155303955","23","23","23","","","","","",""
"3550","3.433509349822998","3.433509349822998","3.433509349822998","25","25","25","3.439520835876465","3.439520835876465","3.439520835876465","25","25","25","3.4401564598083496","3.4401564598083496","3.4401564598083496","25","25","25","3.4308395385742188","3.4308395385742188","3.4308395385742188","25","25","25","","","","","",""
"3600","3.664931297302246","3.664931297302246","3.664931297302246","27","27","27","3.6713037490844727","3.6713037490844727","3.6713037490844727","27","27","27","3.67230224609375","3.67230224609375","3.67230224609375","27","27","27","3.66256046295166","3.66256046295166","3.66256046295166","27","27","27","","","","","",""
"3650","3.6860430240631104","3.6860430240631104","3.6860430240631104","29","29","29","3.6900582313537598","3.6900582313537598","3.6900582313537598","29","29","29","3.691159248352051","3.691159248352051","3.691159248352051","29","29","29","3.6837644577026367","3.6837644577026367","3.6837644577026367","29","29","29","","","","","",""
"3700","3.5549545288085938","3.5549545288085938","3.5549545288085938","31","31","31","3.5608673095703125","3.5608673095703125","3.5608673095703125","31","31","31","3.5623013973236084","3.5623013973236084","3.5623013973236084","31","31","31","3.552945852279663","3.552945852279663","3.552945852279663","31","31","31","","","","","",""
"3750","3.5930895805358887","3.5930895805358887","3.5930895805358887","33","33","33","3.599390983581543","3.599390983581543","3.599390983581543","33","33","33","3.6009573936462402","3.6009573936462402","3.6009573936462402","33","33","33","3.59152889251709","3.59152889251709","3.59152889251709","33","33","33","","","","","",""
"3800","3.368411064147949","3.368411064147949","3.368411064147949","35","35","35","3.3749303817749023","3.3749303817749023","3.3749303817749023","35","35","35","3.3764994144439697","3.3764994144439697","3.3764994144439697","35","35","35","3.36676287651062","3.36676287651062","3.36676287651062","35","35","35","","","","","",""
"3850","3.2111265659332275","3.2111265659332275","3.2111265659332275","37","37","37","3.215768575668335","3.215768575668335","3.215768575668335","37","37","37","3.2165396213531494","3.2165396213531494","3.2165396213531494","37","37","37","3.2092556953430176","3.2092556953430176","3.2092556953430176","37","37","37","","","","","",""
"3900","3.2883734703063965","3.2883734703063965","3.2883734703063965","39","39","39","3.2974331378936768","3.2974331378936768","3.2974331378936768","39","39","39","3.2978298664093018","3.2978298664093018","3.2978298664093018","39","39","39","3.2873241901397705","3.2873241901397705","3.2873241901397705","39","39","39","","","","","",""
"3950","3.4677000045776367","3.4677000045776367","3.4677000045776367","41","41","41","3.477752685546875","3.477752685546875","3.477752685546875","41","41","41","3.4783949851989746","3.4783949851989746","3.4783949851989746","41","41","41","3.466139316558838","3.466139316558838","3.466139316558838","41","41","41","","","","","",""
"4000","3.493896722793579","3.493896722793579","3.493896722793579","43","43","43","3.510324001312256","3.510324001312256","3.510324001312256","43","43","43","3.509031057357788","3.509031057357788","3.509031057357788","43","43","43","3.4927525520324707","3.4927525520324707","3.4927525520324707","43","43","43","","","","","",""
