"iter","muon+adamwcos_inf--lr1.35e-4 - train/loss","muon+adamwcos_inf--lr1.35e-4 - train/loss__MIN","muon+adamwcos_inf--lr1.35e-4 - train/loss__MAX","muon+adamwcos_inf--lr1.35e-4 - _step","muon+adamwcos_inf--lr1.35e-4 - _step__MIN","muon+adamwcos_inf--lr1.35e-4 - _step__MAX","muon+adamwcos--lr1.35e-4 - train/loss","muon+adamwcos--lr1.35e-4 - train/loss__MIN","muon+adamwcos--lr1.35e-4 - train/loss__MAX","muon+adamwcos--lr1.35e-4 - _step","muon+adamwcos--lr1.35e-4 - _step__MIN","muon+adamwcos--lr1.35e-4 - _step__MAX","muon+adamwlinear--lr1.35e-4 - train/loss","muon+adamwlinear--lr1.35e-4 - train/loss__MIN","muon+adamwlinear--lr1.35e-4 - train/loss__MAX","muon+adamwlinear--lr1.35e-4 - _step","muon+adamwlinear--lr1.35e-4 - _step__MIN","muon+adamwlinear--lr1.35e-4 - _step__MAX","muon+adamw--lr1.35e-4 - train/loss","muon+adamw--lr1.35e-4 - train/loss__MIN","muon+adamw--lr1.35e-4 - train/loss__MAX","muon+adamw--lr1.35e-4 - _step","muon+adamw--lr1.35e-4 - _step__MIN","muon+adamw--lr1.35e-4 - _step__MAX","muon3750 - train/loss","muon3750 - train/loss__MIN","muon3750 - train/loss__MAX","muon3750 - _step","muon3750 - _step__MIN","muon3750 - _step__MAX"
"2050","","","","","","","","","","","","","","","","","","","","","","","","","3.8477721214294434","3.8477721214294434","3.8477721214294434","84","84","84"
"2100","","","","","","","","","","","","","","","","","","","","","","","","","3.7101709842681885","3.7101709842681885","3.7101709842681885","86","86","86"
"2150","","","","","","","","","","","","","","","","","","","","","","","","","3.4934487342834473","3.4934487342834473","3.4934487342834473","88","88","88"
"2200","","","","","","","","","","","","","","","","","","","","","","","","","3.7656335830688477","3.7656335830688477","3.7656335830688477","90","90","90"
"2250","","","","","","","","","","","","","","","","","","","","","","","","","3.573948860168457","3.573948860168457","3.573948860168457","92","92","92"
"2300","","","","","","","","","","","","","","","","","","","","","","","","","3.668680191040039","3.668680191040039","3.668680191040039","94","94","94"
"2350","","","","","","","","","","","","","","","","","","","","","","","","","3.8203229904174805","3.8203229904174805","3.8203229904174805","96","96","96"
"2400","","","","","","","","","","","","","","","","","","","","","","","","","3.5962491035461426","3.5962491035461426","3.5962491035461426","98","98","98"
"2450","","","","","","","","","","","","","","","","","","","","","","","","","3.4873785972595215","3.4873785972595215","3.4873785972595215","100","100","100"
"2500","","","","","","","","","","","","","","","","","","","","","","","","","3.666734457015991","3.666734457015991","3.666734457015991","102","102","102"
"2550","","","","","","","","","","","","","","","","","","","","","","","","","3.673936367034912","3.673936367034912","3.673936367034912","104","104","104"
"2600","","","","","","","","","","","","","","","","","","","","","","","","","3.6675901412963867","3.6675901412963867","3.6675901412963867","106","106","106"
"2650","","","","","","","","","","","","","","","","","","","","","","","","","3.52652907371521","3.52652907371521","3.52652907371521","108","108","108"
"2700","","","","","","","","","","","","","","","","","","","","","","","","","3.8776073455810547","3.8776073455810547","3.8776073455810547","110","110","110"
"2750","","","","","","","","","","","","","","","","","","","","","","","","","3.497941493988037","3.497941493988037","3.497941493988037","112","112","112"
"2800","","","","","","","","","","","","","","","","","","","","","","","","","3.713343620300293","3.713343620300293","3.713343620300293","114","114","114"
"2850","","","","","","","","","","","","","","","","","","","","","","","","","3.7120614051818848","3.7120614051818848","3.7120614051818848","116","116","116"
"2900","","","","","","","","","","","","","","","","","","","","","","","","","3.6158626079559326","3.6158626079559326","3.6158626079559326","118","118","118"
"2950","","","","","","","","","","","","","","","","","","","","","","","","","3.388296604156494","3.388296604156494","3.388296604156494","120","120","120"
"3000","","","","","","","","","","","","","","","","","","","","","","","","","3.749160051345825","3.749160051345825","3.749160051345825","122","122","122"
"3050","","","","","","","","","","","","","","","","","","","","","","","","","3.845531702041626","3.845531702041626","3.845531702041626","124","124","124"
"3100","","","","","","","","","","","","","","","","","","","","","","","","","3.6893582344055176","3.6893582344055176","3.6893582344055176","126","126","126"
"3150","","","","","","","","","","","","","","","","","","","","","","","","","3.431709051132202","3.431709051132202","3.431709051132202","128","128","128"
"3200","","","","","","","","","","","","","","","","","","","","","","","","","3.7621383666992188","3.7621383666992188","3.7621383666992188","130","130","130"
"3250","","","","","","","","","","","","","","","","","","","","","","","","","3.4626002311706543","3.4626002311706543","3.4626002311706543","132","132","132"
"3300","","","","","","","","","","","","","","","","","","","","","","","","","3.3263816833496094","3.3263816833496094","3.3263816833496094","134","134","134"
"3350","","","","","","","","","","","","","","","","","","","","","","","","","3.556361198425293","3.556361198425293","3.556361198425293","136","136","136"
"3400","","","","","","","","","","","","","","","","","","","","","","","","","3.4460248947143555","3.4460248947143555","3.4460248947143555","138","138","138"
"3450","","","","","","","","","","","","","","","","","","","","","","","","","3.547086477279663","3.547086477279663","3.547086477279663","140","140","140"
"3500","","","","","","","","","","","","","","","","","","","","","","","","","3.54931902885437","3.54931902885437","3.54931902885437","142","142","142"
"3550","","","","","","","","","","","","","","","","","","","","","","","","","3.4828858375549316","3.4828858375549316","3.4828858375549316","144","144","144"
"3600","","","","","","","","","","","","","","","","","","","","","","","","","3.737497329711914","3.737497329711914","3.737497329711914","146","146","146"
"3650","","","","","","","","","","","","","","","","","","","","","","","","","3.737198829650879","3.737198829650879","3.737198829650879","148","148","148"
"3700","","","","","","","","","","","","","","","","","","","","","","","","","3.6254093647003174","3.6254093647003174","3.6254093647003174","150","150","150"
"3750","3.575929641723633","3.575929641723633","3.575929641723633","3","3","3","3.575929641723633","3.575929641723633","3.575929641723633","3","3","3","3.575929641723633","3.575929641723633","3.575929641723633","3","3","3","3.575929641723633","3.575929641723633","3.575929641723633","3","3","3","3.575929641723633","3.575929641723633","3.575929641723633","152","152","152"
"3800","3.4465255737304688","3.4465255737304688","3.4465255737304688","5","5","5","3.3942131996154785","3.3942131996154785","3.3942131996154785","5","5","5","3.3918685913085938","3.3918685913085938","3.3918685913085938","5","5","5","3.392622947692871","3.392622947692871","3.392622947692871","5","5","5","","","","","",""
"3850","3.407188892364502","3.407188892364502","3.407188892364502","7","7","7","3.249753475189209","3.249753475189209","3.249753475189209","7","7","7","3.248445987701416","3.248445987701416","3.248445987701416","7","7","7","","","","","","","","","","","",""
"3900","3.3836658000946045","3.3836658000946045","3.3836658000946045","9","9","9","3.330902576446533","3.330902576446533","3.330902576446533","9","9","9","3.3307242393493652","3.3307242393493652","3.3307242393493652","9","9","9","3.3330230712890625","3.3330230712890625","3.3330230712890625","7","7","7","","","","","",""
"3950","3.162607192993164","3.162607192993164","3.162607192993164","11","11","11","3.457472324371338","3.457472324371338","3.457472324371338","11","11","11","3.458510637283325","3.458510637283325","3.458510637283325","11","11","11","","","","","","","","","","","",""
"4000","3.3732376098632812","3.3732376098632812","3.3732376098632812","13","13","13","3.482067108154297","3.482067108154297","3.482067108154297","13","13","13","3.4808530807495117","3.4808530807495117","3.4808530807495117","13","13","13","3.4889159202575684","3.4889159202575684","3.4889159202575684","9","9","9","","","","","",""
