"iter","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon+adamwcos_inf--lr1.5e-3 - train/loss","muon+adamwcos_inf--lr1.5e-3 - train/loss__MIN","muon+adamwcos_inf--lr1.5e-3 - train/loss__MAX","muon+adamwcos_inf--lr1.5e-3 - _step","muon+adamwcos_inf--lr1.5e-3 - _step__MIN","muon+adamwcos_inf--lr1.5e-3 - _step__MAX","muon+adamwlinear--lr1.5e-3 - train/loss","muon+adamwlinear--lr1.5e-3 - train/loss__MIN","muon+adamwlinear--lr1.5e-3 - train/loss__MAX","muon+adamwlinear--lr1.5e-3 - _step","muon+adamwlinear--lr1.5e-3 - _step__MIN","muon+adamwlinear--lr1.5e-3 - _step__MAX","muon+adamwcos--lr1.5e-3 - train/loss","muon+adamwcos--lr1.5e-3 - train/loss__MIN","muon+adamwcos--lr1.5e-3 - train/loss__MAX","muon+adamwcos--lr1.5e-3 - _step","muon+adamwcos--lr1.5e-3 - _step__MIN","muon+adamwcos--lr1.5e-3 - _step__MAX","muon2000 - train/loss","muon2000 - train/loss__MIN","muon2000 - train/loss__MAX","muon2000 - _step","muon2000 - _step__MIN","muon2000 - _step__MAX"
"2000","3.794863700866699","3.794863700866699","3.794863700866699","3","3","3","3.794863700866699","3.794863700866699","3.794863700866699","3","3","3","3.794863700866699","3.794863700866699","3.794863700866699","3","3","3","3.794863700866699","3.794863700866699","3.794863700866699","3","3","3","3.794863700866699","3.794863700866699","3.794863700866699","82","82","82"
"2050","","","","","","","3.8866162300109863","3.8866162300109863","3.8866162300109863","5","5","5","","","","","","","","","","","","","","","","","",""
"2100","3.9633066654205322","3.9633066654205322","3.9633066654205322","5","5","5","3.899665117263794","3.899665117263794","3.899665117263794","7","7","7","3.9608469009399414","3.9608469009399414","3.9608469009399414","5","5","5","3.966557502746582","3.966557502746582","3.966557502746582","5","5","5","","","","","",""
"2150","","","","","","","3.658188819885254","3.658188819885254","3.658188819885254","9","9","9","","","","","","","","","","","","","","","","","",""
"2200","4.007043838500977","4.007043838500977","4.007043838500977","7","7","7","3.959672451019287","3.959672451019287","3.959672451019287","11","11","11","3.967385768890381","3.967385768890381","3.967385768890381","7","7","7","4.0019145011901855","4.0019145011901855","4.0019145011901855","7","7","7","","","","","",""
"2250","","","","","","","3.8039984703063965","3.8039984703063965","3.8039984703063965","13","13","13","","","","","","","","","","","","","","","","","",""
"2300","3.8981404304504395","3.8981404304504395","3.8981404304504395","9","9","9","3.8774404525756836","3.8774404525756836","3.8774404525756836","15","15","15","3.833228588104248","3.833228588104248","3.833228588104248","9","9","9","3.861555576324463","3.861555576324463","3.861555576324463","9","9","9","","","","","",""
"2350","","","","","","","4.010351181030273","4.010351181030273","4.010351181030273","17","17","17","","","","","","","","","","","","","","","","","",""
"2400","3.816420793533325","3.816420793533325","3.816420793533325","11","11","11","3.8188424110412598","3.8188424110412598","3.8188424110412598","19","19","19","3.751223564147949","3.751223564147949","3.751223564147949","11","11","11","3.7964701652526855","3.7964701652526855","3.7964701652526855","11","11","11","","","","","",""
"2450","","","","","","","3.6766858100891113","3.6766858100891113","3.6766858100891113","21","21","21","","","","","","","","","","","","","","","","","",""
"2500","3.8594443798065186","3.8594443798065186","3.8594443798065186","13","13","13","3.8634700775146484","3.8634700775146484","3.8634700775146484","23","23","23","3.7820494174957275","3.7820494174957275","3.7820494174957275","13","13","13","3.8355655670166016","3.8355655670166016","3.8355655670166016","13","13","13","","","","","",""
"2550","","","","","","","3.879169464111328","3.879169464111328","3.879169464111328","25","25","25","","","","","","","","","","","","","","","","","",""
"2600","3.844362735748291","3.844362735748291","3.844362735748291","15","15","15","3.846014976501465","3.846014976501465","3.846014976501465","27","27","27","3.7819418907165527","3.7819418907165527","3.7819418907165527","15","15","15","3.813783645629883","3.813783645629883","3.813783645629883","15","15","15","","","","","",""
"2650","","","","","","","3.734135627746582","3.734135627746582","3.734135627746582","29","29","29","","","","","","","","","","","","","","","","","",""
"2700","4.060696601867676","4.060696601867676","4.060696601867676","17","17","17","4.036447525024414","4.036447525024414","4.036447525024414","31","31","31","3.9478156566619873","3.9478156566619873","3.9478156566619873","17","17","17","3.980156898498535","3.980156898498535","3.980156898498535","17","17","17","","","","","",""
"2750","","","","","","","3.6456308364868164","3.6456308364868164","3.6456308364868164","33","33","33","","","","","","","","","","","","","","","","","",""
"2800","3.8708677291870117","3.8708677291870117","3.8708677291870117","19","19","19","3.8471338748931885","3.8471338748931885","3.8471338748931885","35","35","35","3.766756057739258","3.766756057739258","3.766756057739258","19","19","19","3.7987420558929443","3.7987420558929443","3.7987420558929443","19","19","19","","","","","",""
"2850","","","","","","","3.8493762016296387","3.8493762016296387","3.8493762016296387","37","37","37","","","","","","","","","","","","","","","","","",""
"2900","3.7689080238342285","3.7689080238342285","3.7689080238342285","21","21","21","3.741722822189331","3.741722822189331","3.741722822189331","39","39","39","3.66336727142334","3.66336727142334","3.66336727142334","21","21","21","3.680856466293335","3.680856466293335","3.680856466293335","21","21","21","","","","","",""
"2950","","","","","","","3.508575439453125","3.508575439453125","3.508575439453125","41","41","41","","","","","","","","","","","","","","","","","",""
"3000","3.913262367248535","3.913262367248535","3.913262367248535","23","23","23","3.89501690864563","3.89501690864563","3.89501690864563","43","43","43","3.8052635192871094","3.8052635192871094","3.8052635192871094","23","23","23","3.819807529449463","3.819807529449463","3.819807529449463","23","23","23","","","","","",""
"3050","","","","","","","3.9482364654541016","3.9482364654541016","3.9482364654541016","45","45","45","","","","","","","","","","","","","","","","","",""
"3100","3.831413507461548","3.831413507461548","3.831413507461548","25","25","25","3.8037261962890625","3.8037261962890625","3.8037261962890625","47","47","47","3.704699754714966","3.704699754714966","3.704699754714966","25","25","25","3.712087392807007","3.712087392807007","3.712087392807007","25","25","25","","","","","",""
"3150","","","","","","","3.5174455642700195","3.5174455642700195","3.5174455642700195","49","49","49","","","","","","","","","","","","","","","","","",""
"3200","3.9310741424560547","3.9310741424560547","3.9310741424560547","27","27","27","3.882718086242676","3.882718086242676","3.882718086242676","51","51","51","3.782893180847168","3.782893180847168","3.782893180847168","27","27","27","3.7791738510131836","3.7791738510131836","3.7791738510131836","27","27","27","","","","","",""
"3250","","","","","","","3.529989242553711","3.529989242553711","3.529989242553711","53","53","53","","","","","","","","","","","","","","","","","",""
"3300","3.4299232959747314","3.4299232959747314","3.4299232959747314","29","29","29","3.392896890640259","3.392896890640259","3.392896890640259","55","55","55","3.294581413269043","3.294581413269043","3.294581413269043","29","29","29","3.28082537651062","3.28082537651062","3.28082537651062","29","29","29","","","","","",""
"3350","","","","","","","3.627246379852295","3.627246379852295","3.627246379852295","57","57","57","","","","","","","","","","","","","","","","","",""
"3400","3.5765271186828613","3.5765271186828613","3.5765271186828613","31","31","31","3.5265860557556152","3.5265860557556152","3.5265860557556152","59","59","59","3.4277689456939697","3.4277689456939697","3.4277689456939697","31","31","31","3.4090723991394043","3.4090723991394043","3.4090723991394043","31","31","31","","","","","",""
"3450","","","","","","","3.6072235107421875","3.6072235107421875","3.6072235107421875","61","61","61","","","","","","","","","","","","","","","","","",""
"3500","3.6656224727630615","3.6656224727630615","3.6656224727630615","33","33","33","3.6207375526428223","3.6207375526428223","3.6207375526428223","63","63","63","3.5022506713867188","3.5022506713867188","3.5022506713867188","33","33","33","3.5013723373413086","3.5013723373413086","3.5013723373413086","33","33","33","","","","","",""
"3550","","","","","","","3.5185751914978027","3.5185751914978027","3.5185751914978027","65","65","65","","","","","","","","","","","","","","","","","",""
"3600","3.856955051422119","3.856955051422119","3.856955051422119","35","35","35","3.773423671722412","3.773423671722412","3.773423671722412","67","67","67","3.67069149017334","3.67069149017334","3.67069149017334","35","35","35","3.6618306636810303","3.6618306636810303","3.6618306636810303","35","35","35","","","","","",""
"3650","","","","","","","3.7716736793518066","3.7716736793518066","3.7716736793518066","69","69","69","","","","","","","","","","","","","","","","","",""
"3700","3.727818489074707","3.727818489074707","3.727818489074707","37","37","37","3.666313886642456","3.666313886642456","3.666313886642456","71","71","71","3.5533719062805176","3.5533719062805176","3.5533719062805176","37","37","37","3.5568161010742188","3.5568161010742188","3.5568161010742188","37","37","37","","","","","",""
"3750","","","","","","","3.683939218521118","3.683939218521118","3.683939218521118","73","73","73","","","","","","","","","","","","","","","","","",""
"3800","3.5522103309631348","3.5522103309631348","3.5522103309631348","39","39","39","3.458848714828491","3.458848714828491","3.458848714828491","75","75","75","3.349409818649292","3.349409818649292","3.349409818649292","39","39","39","3.3555545806884766","3.3555545806884766","3.3555545806884766","39","39","39","","","","","",""
"3850","","","","","","","3.3244595527648926","3.3244595527648926","3.3244595527648926","77","77","77","","","","","","","","","","","","","","","","","",""
"3900","3.5186452865600586","3.5186452865600586","3.5186452865600586","41","41","41","3.4097824096679688","3.4097824096679688","3.4097824096679688","79","79","79","3.294663906097412","3.294663906097412","3.294663906097412","41","41","41","3.3082873821258545","3.3082873821258545","3.3082873821258545","41","41","41","","","","","",""
"3950","","","","","","","3.537565231323242","3.537565231323242","3.537565231323242","81","81","81","","","","","","","","","","","","","","","","","",""
"4000","3.6834983825683594","3.6834983825683594","3.6834983825683594","43","43","43","3.5705442428588867","3.5705442428588867","3.5705442428588867","83","83","83","3.4627373218536377","3.4627373218536377","3.4627373218536377","43","43","43","3.4805028438568115","3.4805028438568115","3.4805028438568115","43","43","43","","","","","",""
