"iter","muon+adamwcos--lr8e-4 - train/loss","muon+adamwcos--lr8e-4 - train/loss__MIN","muon+adamwcos--lr8e-4 - train/loss__MAX","muon+adamwcos--lr8e-4 - _step","muon+adamwcos--lr8e-4 - _step__MIN","muon+adamwcos--lr8e-4 - _step__MAX","muon+adamwcos_inf--lr8e-4 - train/loss","muon+adamwcos_inf--lr8e-4 - train/loss__MIN","muon+adamwcos_inf--lr8e-4 - train/loss__MAX","muon+adamwcos_inf--lr8e-4 - _step","muon+adamwcos_inf--lr8e-4 - _step__MIN","muon+adamwcos_inf--lr8e-4 - _step__MAX","muon+adamwlinear--lr8e-4 - train/loss","muon+adamwlinear--lr8e-4 - train/loss__MIN","muon+adamwlinear--lr8e-4 - train/loss__MAX","muon+adamwlinear--lr8e-4 - _step","muon+adamwlinear--lr8e-4 - _step__MIN","muon+adamwlinear--lr8e-4 - _step__MAX","muon+adamw--lr8e-4 - train/loss","muon+adamw--lr8e-4 - train/loss__MIN","muon+adamw--lr8e-4 - train/loss__MAX","muon+adamw--lr8e-4 - _step","muon+adamw--lr8e-4 - _step__MIN","muon+adamw--lr8e-4 - _step__MAX","muon800 - train/loss","muon800 - train/loss__MIN","muon800 - train/loss__MAX","muon800 - _step","muon800 - _step__MIN","muon800 - _step__MAX"
"1600","3.9006996154785156","3.9006996154785156","3.9006996154785156","19","19","19","3.8710522651672363","3.8710522651672363","3.8710522651672363","35","35","35","3.882035970687866","3.882035970687866","3.882035970687866","19","19","19","3.869210958480835","3.869210958480835","3.869210958480835","19","19","19","","","","","",""
"1650","","","","","","","3.5695388317108154","3.5695388317108154","3.5695388317108154","37","37","37","","","","","","","","","","","","","","","","","",""
"1700","3.7988388538360596","3.7988388538360596","3.7988388538360596","21","21","21","3.774259567260742","3.774259567260742","3.774259567260742","39","39","39","3.777688980102539","3.777688980102539","3.777688980102539","21","21","21","3.7840728759765625","3.7840728759765625","3.7840728759765625","21","21","21","","","","","",""
"1750","","","","","","","3.744006633758545","3.744006633758545","3.744006633758545","41","41","41","","","","","","","","","","","","","","","","","",""
"1800","3.764251232147217","3.764251232147217","3.764251232147217","23","23","23","3.7365238666534424","3.7365238666534424","3.7365238666534424","43","43","43","3.7443246841430664","3.7443246841430664","3.7443246841430664","23","23","23","3.7484970092773438","3.7484970092773438","3.7484970092773438","23","23","23","","","","","",""
"1850","","","","","","","3.5662474632263184","3.5662474632263184","3.5662474632263184","45","45","45","","","","","","","","","","","","","","","","","",""
"1900","3.6377389430999756","3.6377389430999756","3.6377389430999756","25","25","25","3.612278699874878","3.612278699874878","3.612278699874878","47","47","47","3.6193177700042725","3.6193177700042725","3.6193177700042725","25","25","25","3.629814624786377","3.629814624786377","3.629814624786377","25","25","25","","","","","",""
"1950","","","","","","","3.9692673683166504","3.9692673683166504","3.9692673683166504","49","49","49","","","","","","","","","","","","","","","","","",""
"2000","4.0240607261657715","4.0240607261657715","4.0240607261657715","27","27","27","4.004879951477051","4.004879951477051","4.004879951477051","51","51","51","4.0092339515686035","4.0092339515686035","4.0092339515686035","27","27","27","4.02941370010376","4.02941370010376","4.02941370010376","27","27","27","","","","","",""
"2050","","","","","","","3.882601261138916","3.882601261138916","3.882601261138916","53","53","53","","","","","","","","","","","","","","","","","",""
"2100","3.717759132385254","3.717759132385254","3.717759132385254","29","29","29","3.7055039405822754","3.7055039405822754","3.7055039405822754","55","55","55","3.712395191192627","3.712395191192627","3.712395191192627","29","29","29","3.744936943054199","3.744936943054199","3.744936943054199","29","29","29","","","","","",""
"2150","","","","","","","3.4634385108947754","3.4634385108947754","3.4634385108947754","57","57","57","","","","","","","","","","","","","","","","","",""
"2200","3.773345470428467","3.773345470428467","3.773345470428467","31","31","31","3.765882968902588","3.765882968902588","3.765882968902588","59","59","59","3.75523042678833","3.75523042678833","3.75523042678833","31","31","31","3.7929673194885254","3.7929673194885254","3.7929673194885254","31","31","31","","","","","",""
"2250","","","","","","","3.574768304824829","3.574768304824829","3.574768304824829","61","61","61","","","","","","","","","","","","","","","","","",""
"2300","3.6753861904144287","3.6753861904144287","3.6753861904144287","33","33","33","3.669236183166504","3.669236183166504","3.669236183166504","63","63","63","3.6727254390716553","3.6727254390716553","3.6727254390716553","33","33","33","3.711939811706543","3.711939811706543","3.711939811706543","33","33","33","","","","","",""
"2350","","","","","","","3.8109216690063477","3.8109216690063477","3.8109216690063477","65","65","65","","","","","","","","","","","","","","","","","",""
"2400","3.5999157428741455","3.5999157428741455","3.5999157428741455","35","35","35","3.603346824645996","3.603346824645996","3.603346824645996","67","67","67","3.5967555046081543","3.5967555046081543","3.5967555046081543","35","35","35","3.633510112762451","3.633510112762451","3.633510112762451","35","35","35","","","","","",""
"2450","","","","","","","3.481019973754883","3.481019973754883","3.481019973754883","69","69","69","","","","","","","","","","","","","","","","","",""
"2500","3.6425294876098633","3.6425294876098633","3.6425294876098633","37","37","37","3.6418542861938477","3.6418542861938477","3.6418542861938477","71","71","71","3.6514368057250977","3.6514368057250977","3.6514368057250977","37","37","37","3.704099178314209","3.704099178314209","3.704099178314209","37","37","37","","","","","",""
"2550","","","","","","","3.649157762527466","3.649157762527466","3.649157762527466","73","73","73","","","","","","","","","","","","","","","","","",""
"2600","3.651015281677246","3.651015281677246","3.651015281677246","39","39","39","3.652156114578247","3.652156114578247","3.652156114578247","75","75","75","3.654362678527832","3.654362678527832","3.654362678527832","39","39","39","3.7078471183776855","3.7078471183776855","3.7078471183776855","39","39","39","","","","","",""
"2650","","","","","","","3.4867491722106934","3.4867491722106934","3.4867491722106934","77","77","77","","","","","","","","","","","","","","","","","",""
"2700","3.8166069984436035","3.8166069984436035","3.8166069984436035","41","41","41","3.819711446762085","3.819711446762085","3.819711446762085","79","79","79","3.826387643814087","3.826387643814087","3.826387643814087","41","41","41","3.8901450634002686","3.8901450634002686","3.8901450634002686","41","41","41","","","","","",""
"2750","","","","","","","3.4684741497039795","3.4684741497039795","3.4684741497039795","81","81","81","","","","","","","","","","","","","","","","","",""
